Aurore;Safir
HDF0162;62646
HDF0165;62654
HDF0166;62670
HDF0168;62693
HDF0170;62512
HDF0174;62520
HDF0176;62535
HDF0185;80011
HDF0187;80414
HDF0188;80430
HDF0191;80445
HDF0192;80453
HDF0193;80461
HDF0194;80476
HDF0196;80492
HDF0198;80502
HDF0205;60005
HDF0207;60006
HDF0209;60215
HDF0211;60221
HDF0213;60236
HDF0216;60244
HDF0217;60252
HDF0218;60275
HDF0219;60283
HDF0222;60291
HDF0223;60213
HDF0231;02022
HDF0233;02014
HDF0237;02074
HDF0238;02012
HDF0239;02020
HDF0240;02035
HDF0242;02043
HDF0244;02051
IDF0016;75685
IDF0018;75210
IDF0021;75463
IDF0030;75693
IDF0032;75241
IDF0033;75264
IDF0039;75654
IDF0041;75945
IDF0050;75018
IDF0055;75773
IDF0059;75233
IDF0067;75765
IDF0072;75106
IDF0074;75202
IDF0081;75225
IDF0106;95044
IDF0108;95060
IDF0109;95075
IDF0110;95091
IDF0111;95116
IDF0112;95132
IDF0113;95140
IDF0114;95155
IDF0116;95013
IDF0119;95021
IDF0120;95036
IDF1581;95082
IDF0486;95079
IDF1462;95081
IDF0134;91008
IDF0135;91012
IDF0138;91035
IDF0139;91020
IDF0140;91043
IDF0142;91051
IDF0143;91066
IDF0144;91074
IDF0145;91082
IDF0149;91090
IDF0150;91100
IDF0152;91123
IDF0153;91131
IDF0154;91146
IDF0159;92037
IDF0179;92013
IDF0182;92022
IDF0184;92045
IDF0186;92053
IDF0187;92061
IDF0188;92076
IDF0190;92092
IDF0192;92110
IDF0193;92125
IDF0196;92156
IDF0198;92180
IDF0200;92205
IDF0201;92221
IDF0219;93045
IDF0234;93143
IDF0238;93166
IDF0239;93174
IDF0242;93182
IDF0245;93190
IDF0246;93200
IDF0247;93215
IDF0251;93231
IDF0253;93016
IDF0254;93024
IDF0255;93032
IDF0257;93040
IDF0258;93055
IDF0259;93063
IDF0260;93086
IDF0261;93094
IDF0262;93104
IDF0263;93120
IDF0264;93135
IDF0265;93015
IDF0282;94065
IDF0283;94073
IDF0284;94081
IDF0285;94096
IDF0286;94106
IDF0288;94114
IDF0291;94130
IDF0293;94161
IDF0294;94176
IDF0295;94184
IDF0297;94192
IDF0298;94202
IDF0299;94011
IDF0300;94026
IDF0301;94034
IDF0302;94050
IDF0292;94153
IDF0330;77009
IDF0331;77023
IDF0332;77031
IDF0334;77046
IDF0335;77054
IDF0336;77062
IDF0337;77070
IDF0338;77093
IDF0339;77103
IDF0341;77111
IDF0344;77126
IDF0345;77134
IDF0346;77085
IDF0347;77142
IDF0348;77150
IDF0349;77015
IDF0368;78046
IDF0371;78000
IDF0372;78010
IDF0373;78025
IDF0374;78033
IDF0378;78056
IDF0379;78064
IDF0380;78072
IDF0381;78080
IDF0382;78095
IDF0383;78121
MAR0006;97224
MAR0007;97232
MAR0008;97263
MAR0009;97286
MAR0010;97294
MAR0020;97216
MAR0021;97240
MAR0023;97255
MAR0112;97273
MAY0003;97601
MAY0012;97604
NAQ0201;16001
NAQ0204;16014
NAQ0206;16022
NAQ0208;16030
NAQ0220;17024
NAQ0221;17032
NAQ0222;17040
NAQ0223;17055
NAQ0224;17063
NAQ0225;17071
NAQ0227;17074
NAQ0229;17078
NAQ0231;17086
NAQ0011;87071
NAQ0012;87016
NAQ0014;87024
NAQ0015;87040
NAQ0017;87055
NAQ0018;23016
NAQ0021;23024
NAQ1058;87069
NAQ0022;19013
NAQ0024;19021
NAQ0093;24013
NAQ0096;24007
NAQ0098;24006
NAQ0100;24011
NAQ0101;24026
NAQ0102;24034
NAQ0103;24042
NAQ0127;33024
NAQ0129;33004
NAQ0130;33064
NAQ0133;33335
NAQ0134;33201
NAQ0135;33216
NAQ0136;33224
NAQ0137;33232
NAQ0140;33320
NAQ0141;33366
NAQ0142;33374
NAQ0143;33025
NAQ0144;33033
NAQ0146;33041
NAQ0147;33056
NAQ0148;33121
NAQ0149;33136
NAQ0150;33144
NAQ0070;40003
NAQ0073;40002
NAQ0075;47012
NAQ0076;47020
NAQ0077;47035
NAQ0078;40012
NAQ0082;40020
NAQ0083;40043
NAQ0165;86009
NAQ0166;86084
NAQ0167;86014
NAQ0170;86022
NAQ0172;86030
NAQ0174;86061
NAQ0183;79006
NAQ0188;79051
NAQ0189;79012
NAQ0190;79020
NAQ0192;79035
NAQ0193;79043
NAQ0045;64016
NAQ0049;64006
NAQ0051;64015
NAQ0052;64023
NAQ0054;64031
NAQ0055;64046
NAQ0056;64054
NAQ0057;64062
NAQ0058;64070
NOR0011;61016
NOR0014;61024
NOR0016;61032
NOR0017;61040
NOR0018;61055
NOR0027;50016
NOR0031;50013
NOR0032;50021
NOR0034;50036
NOR0035;50044
NOR0036;50052
NOR0037;50124
NOR0054;14011
NOR0056;14025
NOR0057;14033
NOR0058;14041
NOR0059;14064
NOR0060;14072
NOR0061;14080
